query_id,method,ndcg@10,recall@100,recip_rank
633,bm25,1.0,1.0,1.0
635,bm25,1.0,1.0,1.0
638,bm25,1.0,1.0,1.0
640,bm25,1.0,1.0,1.0
642,bm25,1.0,1.0,1.0
643,bm25,0.3010299956639812,1.0,0.1111111111111111
645,bm25,0.3562071871080222,1.0,0.16666666666666666
646,bm25,0.3562071871080222,1.0,0.16666666666666666
647,bm25,1.0,1.0,1.0
648,bm25,1.0,1.0,1.0
650,bm25,0.6309297535714575,1.0,0.5
651,bm25,1.0,1.0,1.0
652,bm25,1.0,1.0,1.0
653,bm25,0.5,1.0,0.3333333333333333
654,bm25,1.0,1.0,1.0
655,bm25,1.0,1.0,1.0
657,bm25,1.0,1.0,1.0
658,bm25,1.0,1.0,1.0
661,bm25,1.0,1.0,1.0
662,bm25,1.0,1.0,1.0
663,bm25,1.0,1.0,1.0
665,bm25,1.0,1.0,1.0
666,bm25,1.0,1.0,1.0
667,bm25,0.5,1.0,0.3333333333333333
668,bm25,0.6131471927654584,1.0,1.0
669,bm25,0.6131471927654584,1.0,1.0
670,bm25,1.0,1.0,1.0
671,bm25,1.0,1.0,1.0
672,bm25,1.0,1.0,1.0
673,bm25,1.0,1.0,1.0
676,bm25,0.6309297535714575,1.0,0.5
677,bm25,0.6309297535714575,1.0,0.5
679,bm25,0.0,1.0,0.023255813953488372
680,bm25,0.43067655807339306,1.0,0.25
681,bm25,1.0,1.0,1.0
682,bm25,1.0,1.0,1.0
683,bm25,1.0,1.0,1.0
685,bm25,1.0,1.0,1.0
686,bm25,0.31546487678572877,1.0,0.125
687,bm25,1.0,1.0,1.0
688,bm25,1.0,1.0,1.0
689,bm25,0.0,1.0,0.014285714285714285
694,bm25,1.0,1.0,1.0
696,bm25,1.0,1.0,1.0
698,bm25,1.0,1.0,1.0
703,bm25,0.5,1.0,0.3333333333333333
704,bm25,0.0,0.0,0.0
705,bm25,0.6309297535714575,1.0,0.5
709,bm25,1.0,1.0,1.0
710,bm25,0.6309297535714575,1.0,0.5
713,bm25,0.0,1.0,0.041666666666666664
714,bm25,0.0,1.0,0.047619047619047616
717,bm25,0.6309297535714575,1.0,0.5
724,bm25,1.0,1.0,1.0
726,bm25,0.5109559939712153,1.0,0.3333333333333333
730,bm25,1.0,1.0,1.0
732,bm25,0.6309297535714575,1.0,0.5
733,bm25,0.6309297535714575,1.0,0.5
734,bm25,1.0,1.0,1.0
736,bm25,1.0,1.0,1.0
737,bm25,0.6509209298071326,1.0,0.5
738,bm25,0.5307212739772434,1.0,0.5
739,bm25,0.0,1.0,0.011494252873563218
740,bm25,1.0,1.0,1.0
745,bm25,1.0,1.0,1.0
746,bm25,1.0,1.0,1.0
747,bm25,1.0,1.0,1.0
748,bm25,1.0,1.0,1.0
749,bm25,0.0,0.0,0.0
751,bm25,1.0,1.0,1.0
752,bm25,1.0,1.0,1.0
753,bm25,0.0,1.0,0.022222222222222223
755,bm25,0.0,0.0,0.0
757,bm25,0.38685280723454163,1.0,0.2
758,bm25,0.5,1.0,0.3333333333333333
760,bm25,1.0,1.0,1.0
761,bm25,0.0,1.0,0.04
762,bm25,0.0,1.0,0.021739130434782608
764,bm25,0.0,1.0,0.037037037037037035
765,bm25,0.3562071871080222,1.0,0.16666666666666666
766,bm25,0.3333333333333333,1.0,0.14285714285714285
767,bm25,1.0,1.0,1.0
771,bm25,1.0,1.0,1.0
772,bm25,1.0,1.0,1.0
774,bm25,0.0,1.0,0.011764705882352941
776,bm25,0.0,1.0,0.01282051282051282
777,bm25,0.0,1.0,0.014084507042253521
778,bm25,1.0,1.0,1.0
779,bm25,1.0,1.0,1.0
780,bm25,1.0,1.0,1.0
782,bm25,0.6309297535714575,1.0,0.5
787,bm25,1.0,1.0,1.0
788,bm25,1.0,1.0,1.0
789,bm25,0.5,1.0,0.3333333333333333
790,bm25,0.3562071871080222,1.0,0.16666666666666666
791,bm25,0.6309297535714575,1.0,0.5
792,bm25,1.0,1.0,1.0
795,bm25,0.3010299956639812,1.0,0.1111111111111111
797,bm25,0.0,1.0,0.09090909090909091
798,bm25,0.3333333333333333,1.0,0.14285714285714285
799,bm25,1.0,1.0,1.0
801,bm25,1.0,1.0,1.0
802,bm25,1.0,1.0,1.0
803,bm25,1.0,1.0,1.0
804,bm25,1.0,1.0,1.0
807,bm25,1.0,1.0,1.0
810,bm25,0.0,1.0,0.045454545454545456
812,bm25,1.0,1.0,1.0
813,bm25,1.0,1.0,1.0
815,bm25,1.0,1.0,1.0
816,bm25,1.0,1.0,1.0
817,bm25,0.0,1.0,0.07692307692307693
818,bm25,0.3333333333333333,1.0,0.14285714285714285
822,bm25,0.6309297535714575,1.0,0.5
825,bm25,1.0,1.0,1.0
826,bm25,0.5,1.0,0.3333333333333333
828,bm25,0.0,0.0,0.0
835,bm25,1.0,1.0,1.0
838,bm25,0.38685280723454163,1.0,0.2
840,bm25,0.5,1.0,0.3333333333333333
841,bm25,1.0,1.0,1.0
844,bm25,1.0,1.0,1.0
846,bm25,1.0,1.0,1.0
848,bm25,1.0,1.0,1.0
853,bm25,1.0,1.0,1.0
854,bm25,1.0,1.0,1.0
855,bm25,1.0,1.0,1.0
856,bm25,0.3333333333333333,1.0,0.14285714285714285
857,bm25,0.0,1.0,0.05263157894736842
858,bm25,0.43067655807339306,1.0,0.25
860,bm25,1.0,1.0,1.0
861,bm25,1.0,1.0,1.0
863,bm25,1.0,1.0,1.0
866,bm25,0.3333333333333333,1.0,0.14285714285714285
867,bm25,1.0,1.0,1.0
871,bm25,0.0,0.0,0.0
876,bm25,0.0,0.0,0.0
877,bm25,0.6309297535714575,1.0,0.5
881,bm25,1.0,1.0,1.0
883,bm25,1.0,1.0,1.0
884,bm25,1.0,1.0,1.0
885,bm25,1.0,1.0,1.0
886,bm25,1.0,1.0,1.0
890,bm25,0.0,1.0,0.07692307692307693
891,bm25,0.0,1.0,0.08333333333333333
893,bm25,1.0,1.0,1.0
894,bm25,0.0,1.0,0.037037037037037035
895,bm25,0.5,1.0,0.3333333333333333
896,bm25,1.0,1.0,1.0
